"id";"name";"d1";"d2";"d3";"d4";"d5"
280;"CanadianPacificRailwayLtd.(cp)";"4.76";"3.38";"2.75";"7.74";"4.07"
281;"PublicServiceEnterpriseGroup,Inc.(peg)";"2.69";"5.58";"9.56";"3.95";"1.09"
282;"ElectronicArts,Inc.(ea)";"2.93";"6.07";"-1.86";"-2,200.00";"6.44"
283;"SouthernCopperCorp.(scco)";"3.71";"4.11";"4.72";"-2.86";"4.03"
284;"SunTrustBanks,Inc.(sti)";"7.28";"7.24";"6.45";"7.42";"5.40"
285;"SouthwestAirlinesCo.(luv)";"6.15";"7.33";"4.63";"18.88";"5.03"
286;"ChunghwaTelecomCo.Ltd.(cht)";"3.38";"3.07";"2.96";"3.47";"3.56"
287;"Yum!Brands,Inc.(yum)";"3.21";"4.33";"4.36";"4.18";"2.06"
288;"Autodesk,Inc.(adsk)";"-3,940.00";"-8,240.00";"-1.74";"-1.20";"-1.44"
289;"Moody'sCorp.(mco)";"3.12";"3.78";"3.77";"2,850.00";"3.20"
290;"Workday,Inc.(wday)";"-8,615.60";"-7,441.00";"-8,910.00";"-8,554.60";"-8,253.20"
291;"eBay,Inc.(ebay)";"6.38";"4.07";"-25.97";"5.23";"2,700.00"
292;"O'ReillyAutomotive,Inc.(orly)";"3.66";"3.53";"3.05";"3.02";"2.84"
293;"TEConnectivityLtd.(tel)";"4.54";"4.92";"-3,900.00";"4.29";"4.32"
294;"GeneralMills,Inc.(gis)";"3.96";"3.58";"9.53";"4.44";"4.09"
295;"Archer-Daniels-MidlandCo.(adm)";"5.66";"3.96";"7.92";"1.95";"2.75"
296;"RogersCommunications,Inc.(rci)";"4.54";"4.17";"3.36";"3.30";"3.73"
297;"MPLXLP(mplx)";"4.56";"4.23";"2.41";"2.17";"1.91"
298;"Worldpay,Inc.(wp)";"-150.00";"-9,830.00";"-4,636.80";"1.07";"8,685.40"
